protocol,ablation,seed,target_path,expected_direction,window,metric,metric_value
shock,full,42,open,negative,pre,p_target,0.5517241379310345
shock,full,42,open,negative,pre,p_open,0.5517241379310345
shock,full,42,open,negative,pre,p_covered,0.4482758620689655
shock,full,42,open,negative,pre,p_timeout,0.20689655172413793
shock,full,42,open,negative,pre,commit_latency,4.689655172413793
shock,full,42,open,negative,pre,junction_pause_duration,5.689655172413793
shock,full,42,open,negative,shock,p_target,1.0
shock,full,42,open,negative,shock,p_open,1.0
shock,full,42,open,negative,shock,p_covered,0.0
shock,full,42,open,negative,shock,p_timeout,0.0
shock,full,42,open,negative,shock,commit_latency,3.0
shock,full,42,open,negative,shock,junction_pause_duration,4.0
shock,full,42,open,negative,post_1_3,p_target,0.0
shock,full,42,open,negative,post_1_3,p_open,0.0
shock,full,42,open,negative,post_1_3,p_covered,1.0
shock,full,42,open,negative,post_1_3,p_timeout,0.0
shock,full,42,open,negative,post_1_3,commit_latency,2.3333333333333335
shock,full,42,open,negative,post_1_3,junction_pause_duration,3.3333333333333335
shock,full,42,open,negative,post_4_10,p_target,0.0
shock,full,42,open,negative,post_4_10,p_open,0.0
shock,full,42,open,negative,post_4_10,p_covered,1.0
shock,full,42,open,negative,post_4_10,p_timeout,0.0
shock,full,42,open,negative,post_4_10,commit_latency,1.0
shock,full,42,open,negative,post_4_10,junction_pause_duration,2.0
shock,full,42,open,negative,post_11_30,p_target,0.25
shock,full,42,open,negative,post_11_30,p_open,0.25
shock,full,42,open,negative,post_11_30,p_covered,0.75
shock,full,42,open,negative,post_11_30,p_timeout,0.15
shock,full,42,open,negative,post_11_30,commit_latency,3.3
shock,full,42,open,negative,post_11_30,junction_pause_duration,4.3
shock,full,42,open,negative,post_31_plus,p_target,0.375
shock,full,42,open,negative,post_31_plus,p_open,0.375
shock,full,42,open,negative,post_31_plus,p_covered,0.625
shock,full,42,open,negative,post_31_plus,p_timeout,0.15
shock,full,42,open,negative,post_31_plus,commit_latency,4.175
shock,full,42,open,negative,post_31_plus,junction_pause_duration,5.175
shock,full,42,open,negative,post_all,p_target,0.2857142857142857
shock,full,42,open,negative,post_all,p_open,0.2857142857142857
shock,full,42,open,negative,post_all,p_covered,0.7142857142857143
shock,full,42,open,negative,post_all,p_timeout,0.12857142857142856
shock,full,42,open,negative,post_all,commit_latency,3.5285714285714285
shock,full,42,open,negative,post_all,junction_pause_duration,4.5285714285714285
shock,full,43,open,negative,pre,p_target,0.41379310344827586
shock,full,43,open,negative,pre,p_open,0.41379310344827586
shock,full,43,open,negative,pre,p_covered,0.5862068965517241
shock,full,43,open,negative,pre,p_timeout,0.10344827586206896
shock,full,43,open,negative,pre,commit_latency,4.551724137931035
shock,full,43,open,negative,pre,junction_pause_duration,5.551724137931035
shock,full,43,open,negative,shock,p_target,1.0
shock,full,43,open,negative,shock,p_open,1.0
shock,full,43,open,negative,shock,p_covered,0.0
shock,full,43,open,negative,shock,p_timeout,0.0
shock,full,43,open,negative,shock,commit_latency,3.0
shock,full,43,open,negative,shock,junction_pause_duration,4.0
shock,full,43,open,negative,post_1_3,p_target,0.0
shock,full,43,open,negative,post_1_3,p_open,0.0
shock,full,43,open,negative,post_1_3,p_covered,1.0
shock,full,43,open,negative,post_1_3,p_timeout,0.3333333333333333
shock,full,43,open,negative,post_1_3,commit_latency,3.6666666666666665
shock,full,43,open,negative,post_1_3,junction_pause_duration,4.666666666666667
shock,full,43,open,negative,post_4_10,p_target,0.0
shock,full,43,open,negative,post_4_10,p_open,0.0
shock,full,43,open,negative,post_4_10,p_covered,1.0
shock,full,43,open,negative,post_4_10,p_timeout,0.0
shock,full,43,open,negative,post_4_10,commit_latency,1.2857142857142858
shock,full,43,open,negative,post_4_10,junction_pause_duration,2.2857142857142856
shock,full,43,open,negative,post_11_30,p_target,0.2
shock,full,43,open,negative,post_11_30,p_open,0.2
shock,full,43,open,negative,post_11_30,p_covered,0.8
shock,full,43,open,negative,post_11_30,p_timeout,0.1
shock,full,43,open,negative,post_11_30,commit_latency,3.95
shock,full,43,open,negative,post_11_30,junction_pause_duration,4.95
shock,full,43,open,negative,post_31_plus,p_target,0.45
shock,full,43,open,negative,post_31_plus,p_open,0.45
shock,full,43,open,negative,post_31_plus,p_covered,0.55
shock,full,43,open,negative,post_31_plus,p_timeout,0.275
shock,full,43,open,negative,post_31_plus,commit_latency,4.75
shock,full,43,open,negative,post_31_plus,junction_pause_duration,5.75
shock,full,43,open,negative,post_all,p_target,0.3142857142857143
shock,full,43,open,negative,post_all,p_open,0.3142857142857143
shock,full,43,open,negative,post_all,p_covered,0.6857142857142857
shock,full,43,open,negative,post_all,p_timeout,0.2
shock,full,43,open,negative,post_all,commit_latency,4.128571428571429
shock,full,43,open,negative,post_all,junction_pause_duration,5.128571428571429
shock,full,44,open,negative,pre,p_target,0.3793103448275862
shock,full,44,open,negative,pre,p_open,0.3793103448275862
shock,full,44,open,negative,pre,p_covered,0.6206896551724138
shock,full,44,open,negative,pre,p_timeout,0.20689655172413793
shock,full,44,open,negative,pre,commit_latency,4.517241379310345
shock,full,44,open,negative,pre,junction_pause_duration,5.517241379310345
shock,full,44,open,negative,shock,p_target,1.0
shock,full,44,open,negative,shock,p_open,1.0
